trenuta=17.03, sr. vrij.=17.03
trenuta=49.05, sr. vrij.=31.45
trenuta=9.92, sr. vrij.=33.87
trenuta=12.90, sr. vrij.=29.00
trenuta=17.07, sr. vrij.=30.59
trenuta=34.62, sr. vrij.=26.58
trenuta=13.02, sr. vrij.=24.71
trenuta=6.48, sr. vrij.=17.51
trenuta=31.93, sr. vrij.=16.82
trenuta=28.33, sr. vrij.=20.63
trenuta=23.72, sr. vrij.=22.88
trenuta=19.35, sr. vrij.=19.35
trenuta=48.39, sr. vrij.=33.87
trenuta=45.58, sr. vrij.=37.77
trenuta=0.39, sr. vrij.=28.43
trenuta=10.53, sr. vrij.=24.85
trenuta=5.80, sr. vrij.=24.85
trenuta=15.73, sr. vrij.=22.14
trenuta=23.39, sr. vrij.=15.60
trenuta=32.83, sr. vrij.=32.83
trenuta=18.43, sr. vrij.=25.63
trenuta=34.12, sr. vrij.=28.46
trenuta=12.04, sr. vrij.=24.35
trenuta=22.88, sr. vrij.=24.06
trenuta=0.51, sr. vrij.=24.06
trenuta=13.63, sr. vrij.=17.60
trenuta=20.44, sr. vrij.=16.64
trenuta=13.99, sr. vrij.=13.90
trenuta=42.88, sr. vrij.=14.29
trenuta=18.55, sr. vrij.=18.29
trenuta=25.19, sr. vrij.=21.90
trenuta=17.45, sr. vrij.=24.21
trenuta=25.63, sr. vrij.=23.61
trenuta=38.19, sr. vrij.=25.94
trenuta=48.08, sr. vrij.=25.00
trenuta=33.00, sr. vrij.=30.91
trenuta=16.70, sr. vrij.=32.47
trenuta=5.57, sr. vrij.=32.32
trenuta=41.77, sr. vrij.=28.31
trenuta=11.92, sr. vrij.=29.03
trenuta=8.94, sr. vrij.=21.79
trenuta=26.60, sr. vrij.=26.60
trenuta=43.86, sr. vrij.=35.23
trenuta=22.89, sr. vrij.=31.12
trenuta=27.61, sr. vrij.=30.24
trenuta=8.81, sr. vrij.=25.95
trenuta=11.52, sr. vrij.=11.52
trenuta=26.80, sr. vrij.=19.16
trenuta=22.04, sr. vrij.=20.12
trenuta=45.64, sr. vrij.=26.50
trenuta=11.08, sr. vrij.=23.41
trenuta=19.28, sr. vrij.=23.41
trenuta=16.50, sr. vrij.=24.97
trenuta=36.87, sr. vrij.=22.91
trenuta=36.06, sr. vrij.=25.87
trenuta=48.21, sr. vrij.=23.96
trenuta=38.08, sr. vrij.=31.38
trenuta=8.14, sr. vrij.=35.14
trenuta=41.72, sr. vrij.=33.47
trenuta=19.52, sr. vrij.=34.44
trenuta=31.20, sr. vrij.=31.13
trenuta=9.27, sr. vrij.=27.73
trenuta=14.27, sr. vrij.=14.27
trenuta=8.70, sr. vrij.=11.48
trenuta=41.56, sr. vrij.=21.51
trenuta=7.58, sr. vrij.=18.03
trenuta=6.79, sr. vrij.=15.78
trenuta=6.23, sr. vrij.=15.78
trenuta=35.56, sr. vrij.=14.17
trenuta=22.45, sr. vrij.=19.55
trenuta=27.61, sr. vrij.=15.72
trenuta=10.81, sr. vrij.=19.73
trenuta=26.68, sr. vrij.=20.53
trenuta=30.37, sr. vrij.=24.62
trenuta=30.86, sr. vrij.=23.58
trenuta=29.89, sr. vrij.=25.27
trenuta=21.38, sr. vrij.=25.72
trenuta=12.04, sr. vrij.=12.04
trenuta=17.07, sr. vrij.=14.55
trenuta=43.30, sr. vrij.=24.14
trenuta=8.91, sr. vrij.=20.33
trenuta=2.59, sr. vrij.=16.78
trenuta=48.49, sr. vrij.=16.78
trenuta=45.97, sr. vrij.=24.07
trenuta=11.74, sr. vrij.=29.85
trenuta=35.59, sr. vrij.=23.54
trenuta=14.49, sr. vrij.=28.88
trenuta=34.73, sr. vrij.=34.73
trenuta=25.89, sr. vrij.=30.31
trenuta=44.21, sr. vrij.=34.94
trenuta=24.71, sr. vrij.=32.38
trenuta=19.41, sr. vrij.=29.79
