Naslov 1343; Kocic, Branko; stranice=528; godina izdanja=2003
Naslov 856; Mladenovic, Goran; stranice=165; godina izdanja=1976
Naslov 929; Kocic, Ivo; stranice=183; godina izdanja=1966
Naslov 274; Mladenovic, Mladen; stranice=263; godina izdanja=2013
Naslov 3534; Andric, Goran; stranice=58; godina izdanja=1943
Naslov 2369; Copic, Goran; stranice=415; godina izdanja=2007
Naslov 1476; Rakic, Mladen; stranice=291; godina izdanja=2015
Naslov 2464; Radicevic, Milan; stranice=462; godina izdanja=1960
Naslov 1732; Radicevic, Petar; stranice=136; godina izdanja=1956
Naslov 2355; Radicevic, Stevica; stranice=50; godina izdanja=1949
Naslov 1749; Goranovic, Milan; stranice=372; godina izdanja=1965
Naslov 3336; Mladenovic, Goran; stranice=549; godina izdanja=1929
Naslov 604; Copic, Petar; stranice=127; godina izdanja=1981
Naslov 311; Mladenovic, Petar; stranice=181; godina izdanja=2012
Naslov 2812; Kocic, Mladen; stranice=104; godina izdanja=1957
Naslov 204; Copic, Mladen; stranice=123; godina izdanja=1968
Naslov 105; Radicevic, Stevica; stranice=154; godina izdanja=2018
Naslov 4670; Andric, Goran; stranice=66; godina izdanja=1949
Naslov 2134; Rakic, Stevica; stranice=406; godina izdanja=1927
Naslov 4858; Kocic, Ivica; stranice=350; godina izdanja=1975
Naslov 1385; Andric, Stevica; stranice=444; godina izdanja=1949
Naslov 1356; Goranovic, Mladen; stranice=94; godina izdanja=2021
Naslov 1914; Radicevic, Ivica; stranice=239; godina izdanja=1988
Naslov 4359; Kocic, Milan; stranice=199; godina izdanja=1965
Naslov 2230; Radicevic, Ivica; stranice=377; godina izdanja=1944
Naslov 961; Kocic, Petar; stranice=93; godina izdanja=2010
Naslov 1611; Copic, Goran; stranice=266; godina izdanja=2009
Naslov 3294; Kocic, Branko; stranice=321; godina izdanja=2018
Naslov 3711; Mladenovic, Petar; stranice=330; godina izdanja=2023
Naslov 1984; Copic, Petar; stranice=312; godina izdanja=1951
Naslov 4885; Copic, Ivo; stranice=461; godina izdanja=1943
Naslov 4575; Copic, Milan; stranice=275; godina izdanja=2002
Naslov 770; Copic, Stevica; stranice=380; godina izdanja=1939
Naslov 841; Goranovic, Goran; stranice=141; godina izdanja=1944
Naslov 2880; Rakic, Stevica; stranice=74; godina izdanja=1976
Naslov 4305; Andric, Mladen; stranice=73; godina izdanja=1976
Naslov 2128; Radicevic, Petar; stranice=402; godina izdanja=1958
Naslov 1119; Andric, Branko; stranice=129; godina izdanja=1967
Naslov 1777; Andric, Ivica; stranice=429; godina izdanja=1964
Naslov 660; Radicevic, Ivo; stranice=304; godina izdanja=2002
